"instruction","input","output"
"Viết nội dung giới thiệu bìa sách Tiểu thuyết kinh dị","Phong cách gothic,tông màu tối","Những ngôi mộ cổ phủ đầy rêu phong chìm trong màn sương dày đặc, ánh trăng mờ ảo xuyên qua những tán cây khẳng khiu, tạo nên những hình thù kỳ quái."
"Tạo mô tả bìa sách Khoa học viễn tưởng","Sắc xanh lam, chủ đề không gian vũ trụ.","Một trạm vũ trụ bỏ hoang trôi lơ lửng giữa những vì sao xa xôi, ánh sáng xanh lẻ loi hắt ra từ các ô cửa kính nứt vỡ."
"Soạn thảo phần mô tả bìa sách Trinh thám","Đen trắng chủ đạo, phong cách noir.","Một con hẻm tối tăm với ánh đèn đường lờ mờ phản chiếu trên mặt đường ướt sũng, cửa sổ những tòa nhà cao tầng phủ kín màn che, giấu đi những bí ẩn bên trong."
"Tạo mô tả bìa sách Phiêu lưu kỳ ảo","Gam màu ấm áp, hơi hướng thần thoại.","ngọn tháp cổ sừng sững giữa rừng cây đỏ rực mùa thu, những bậc thang đá uốn lượn dẫn lên cánh cửa phát sáng mờ ảo."
"Đề xuất nội dung bìa sách Tiểu thuyết hậu tận thế","","Một thành phố đổ nát, nơi những người sống sót lang thang giữa các tòa nhà hoang tàn, ánh hoàng hôn nhuộm đỏ bầu trời."
"Tạo mô tả bìa sách Khoa học","Tông màu lạnh, phong cách hiện đại","Một phòng thí nghiệm rộng lớn với những màn hình hiển thị dữ liệu xanh lam, sàn kính phản chiếu ánh sáng trắng lạnh lẽo."
"Tạo mô tả bìa sách Du ký","","Những đỉnh núi phủ tuyết kéo dài bất tận dưới ánh bình minh cam rực, con đường mòn nhỏ bé ẩn hiện giữa những vách đá hiểm trở."
"Xây dựng đoạn giới thiệu trên bìa sách Tâm lý","Bảng màu ấm, phong cách xưa cũ.","căn phòng đầy đồng hồ cổ, kim đồng hồ dừng lại đúng vào thời khắc quan trọng, phản chiếu ánh mắt lo âu của nhân vật chính."
"Tạo đoạn tóm lược trên bìa sách Lịch sử","Màu sắc ấm áp, cảm hứng hoài niệm.","Một tòa thành cổ hoang phế, những lá cờ rách tả tơi tung bay trước ánh hoàng hôn, dấu tích của những trận chiến đã lùi xa vào quá khứ."
"Soạn thảo văn bản mô tả bìa sách Hành động","Tông màu mát mẻ, phong cách tân thời.","Những tòa nhà chọc trời phủ ánh đèn neon rực rỡ, con đường cao tốc uốn lượn giữa thành phố hiện đại, phản chiếu trên mặt kính của những tòa tháp xa xa."
"Tạo mô tả bìa sách Lãng mạn","Màu sắc sống động, nghệ thuật tranh vẽ.","Một khu vườn đầy hoa rực rỡ, ánh hoàng hôn nhuộm hồng mặt hồ phẳng lặng, nơi những cánh hoa rơi chậm rãi xuống mặt nước."
"Sáng tạo nội dung bìa sách Kỹ năng","","Một giá sách đồ sộ với những cuốn sách mở sẵn, các trang giấy phát sáng mờ ảo, như tỏa ra tri thức vô tận."
"Tạo mô tả bìa sách Truyện thiếu nhi","Phong cách viễn tưởng, huyền ảo","Một cây cổ thụ khổng lồ với những chiếc lá phát sáng nhẹ nhàng, con đường uốn lượn dẫn vào một ngôi làng nhỏ giữa những vì sao lấp lánh."
"Chỉnh sửa phần giới thiệu sách Sách kỹ năng","","Một tấm bảng đen với những dòng chữ viết tay đầy cảm hứng, phía sau là bầu trời đêm rực sáng với hàng ngàn vì sao."
"Viết tóm tắt súc tích cho bìa sách Hành động viễn tưởng","","Một thành phố công nghệ cao chìm trong bóng tối, những tòa nhà phát sáng lập lòe giữa cơn bão điện từ đang cuộn xoáy trên bầu trời."
"Chỉnh sửa nội dung giới thiệu bìa sách Lãng mạn hiện đại","Dùng sắc thái lạnh, tạo nên thiết kế tối giản.","Một quán cà phê nhỏ với cửa kính đọng nước mưa, ánh đèn vàng le lói phản chiếu xuống vỉa hè ướt sũng."
"Sáng tạo lời giới thiệu trên bìa sách Hành động","Khai thác vẻ hoang sơ, mang cảm hứng thiên nhiên.","Một khu rừng rậm rạp với những thân cây phủ rêu xanh, con đường mòn nhỏ hẹp dẫn đến một thác nước hùng vĩ ẩn mình giữa sương mù."
"Điều chỉnh nội dung tóm lược bìa sách Tâm lý bí ẩn","Áp dụng gam màu trầm, thể hiện phong cách surreal.","Một căn phòng tối với những bức tường nứt nẻ, tấm gương cũ kỹ phản chiếu hình ảnh méo mó của không gian xung quanh."
"Gợi ý nội dung tóm lược trên bìa sách Trinh thám kinh điển","Sử dụng màu tối chủ đạo, gợi lên hơi hướng cổ điển.","Một bàn làm việc phủ đầy giấy tờ cũ, ngọn đèn dầu hắt ra ánh sáng yếu ớt, chiếu lên chiếc đồng hồ cổ đang chỉ vào thời khắc định mệnh."
